"a-size-base",a-link-normal href,"a-link-normal href 2","a-size-base 2","a-link-normal href 3","a-size-base 3","a-link-normal href 4","a-size-base 4","a-link-normal href 5","a-size-base 5"
"Cell Phone Brands","","","","","","","","",""
"Made for Amazon",https://www.amazon.in/s?k=mobiles&rh=p_n_format_browse-bin%3A30678581031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=30678573031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_format_browse-bin_1&ds=v1%3A%2BOh9nsutCtMsXKabS8d6sSJAXnjV1e%2Fa5osS%2FwsYVnI,https://www.amazon.in/s?k=mobiles&rh=p_n_format_browse-bin%3A30678580031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=30678573031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_format_browse-bin_2&ds=v1%3AL53LVj2XXV1Xm5aiOko7H07dsq44b5CWWzYJgyyUMZM,"Top Brands","","","","","",""
"Operating System","","","","","","","","",""
"Android 10.0",https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-one_browse-bin%3A51258730031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=51258619031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-one_browse-bin_1&ds=v1%3Ad3zQ4aY%2FbTQFgVB1LHms40AuqPHZ%2B8ykDhDxjhjS8kk,"https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-one_browse-bin%3A51258744031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=51258619031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-one_browse-bin_2&ds=v1%3AXWTGcjsT1jQc62ooy%2FhKKDijGsEkWqCXY5wSfGDfElI","Android 11.0",https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-one_browse-bin%3A51258733031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=51258619031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-one_browse-bin_3&ds=v1%3AZfFntLGmY3BGCIGZiYzSmbE1SM5ue5K2zonEcso6wd8,"Android 12.0","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-one_browse-bin%3A51258698031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=51258619031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-one_browse-bin_4&ds=v1%3ArDNSQCHtlUjv84LWW36P5UVjtzb%2Bf%2F1ElQOFSt0huog","Android 13.0","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty-one_browse-bin%3A51258767031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=51258619031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty-one_browse-bin_5&ds=v1%3AthdqGpJEll5vX6myNTwVYbhubRJMUpBsegwhDA1Cd9E","Android 9.0"
"Pay On Delivery",,"","","","","","","",""
"Eligible for Pay On Delivery","https://www.amazon.in/s?k=mobiles&rh=p_n_is_cod_eligible%3A4931671031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=4931670031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_is_cod_eligible_1&ds=v1%3AM31t80f41%2B4EAdRFJ8DT0K9%2BoEmwEYJnTnUhlr2NZmw","","","","","","","",""
"Internal Memory","","","","","","","","",""
"Less than 3.9 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eight_browse-bin%3A8561118031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561111031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eight_browse-bin_1&ds=v1%3AsBMd1VtgQyWKZZZMsy77ADxZ%2Bm%2BR0GlXYimDP52qTJo","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eight_browse-bin%3A8561115031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561111031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eight_browse-bin_2&ds=v1%3AMTDAD6QZmW6pIihJQRWjKazttl3GshfqorBu6%2Bkb0bo","4 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eight_browse-bin%3A8561117031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561111031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eight_browse-bin_3&ds=v1%3ANm%2FlHrYSxfF3HA0A8XRZ21LOv%2FW%2BiIGHNQNZWFBLl%2Fc","8 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eight_browse-bin%3A8561113031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561111031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eight_browse-bin_4&ds=v1%3AcOdNFGudnWyVLH6SP%2BCoXMhm8LPW6SrD2fQfc46ySys","16 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_eight_browse-bin%3A8561114031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8561111031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_eight_browse-bin_5&ds=v1%3AxcWeID%2F6gk7Ssy01VYwTEVAb7JNgvESfUbPVxqXlFzI","32 GB"
"Item Weight","","","","","","","","",""
"Up to 141.9 g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-seven_browse-bin%3A42659590031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42659587031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-seven_browse-bin_1&ds=v1%3AK961d6%2F70WvnhL%2BPbcSdcYGBTjVRf9LzQYPXpG3SUc0","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-seven_browse-bin%3A42659588031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42659587031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-seven_browse-bin_2&ds=v1%3AZOY8Do4Rl9oaptJ22vl%2FWRuOzaP8mrV4UGWge%2Fgy68U","142 to 197.9 g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-seven_browse-bin%3A42659589031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42659587031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-seven_browse-bin_3&ds=v1%3AeFDU3TFnHPRQoj4ibhJHvM4Hh5kzCbfczPGYSGylHAU","198 to 254.9 g","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-seven_browse-bin%3A42659591031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42659587031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-seven_browse-bin_4&ds=v1%3AbhQQ1kBTk5%2BJftOIbw1Jn8Xf8SARQds9cTdHpwH6oiA","255 g & Above","",""
"Screen Size","","","","","","","","",""
