"a-link-normal href","s-image src","puis-label-popover href","a-color-secondary","a-color-base","puis","a-link-normal href 2","a-link-normal","a-link-normal href 3","a-size-base-plus","a-size-base","a-popover-trigger href","a-icon-alt","a-link-normal href 4","a-size-base 2","a-size-base href","a-offscreen","a-price-whole","a-size-base 3","a-offscreen 2","a-row","a-color-base 2","a-color-base 3","a-color-base 4","a-link-normal href 5","a-badge-text","a-size-base 4","a-size-base 5"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDQ2NjMxMzcwNzk4OjowOjo&url=%2FAmazonBasics-15-Piece-Non-Stick-Cookware-Set%2Fdp%2FB07481LPMF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/61x-NhdKBmL._AC_UL400_.jpg","javascript:void(0)","Sponsored","Sponsored","You are seeing this ad based on the product’s relevance to your search query.","https://www.amazon.in/s?k=cook+wear&sprefix=cook+%2Caps%2C305&ref=nb_sb_ss_ts-doa-p_4_5#","Let us know","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDQ2NjMxMzcwNzk4OjowOjo&url=%2FAmazonBasics-15-Piece-Non-Stick-Cookware-Set%2Fdp%2FB07481LPMF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","AmazonBasics Aluminium Non-Stick Black Cookware Set - 15 Piece","4.2","javascript:void(0)","4.2 out of 5 stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDQ2NjMxMzcwNzk4OjowOjo&url=%2FAmazonBasics-15-Piece-Non-Stick-Cookware-Set%2Fdp%2FB07481LPMF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews","80% 4+ stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDQ2NjMxMzcwNzk4OjowOjo&url=%2FAmazonBasics-15-Piece-Non-Stick-Cookware-Set%2Fdp%2FB07481LPMF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","₹3,892.72","3,892","M.R.P:","₹10,100","(61% off)","Get it by","Tuesday, 22 August","FREE Delivery by Amazon","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMTUzMTg1NTMyMDk4OjowOjo&url=%2FBergner-Stainless-Cookware-Without-Induction%2Fdp%2FB0C28NCJH7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/511iiVXZHpL._AC_UL400_.jpg","javascript:void(0)","Sponsored","Sponsored","You are seeing this ad based on the product’s relevance to your search query.","https://www.amazon.in/s?k=cook+wear&sprefix=cook+%2Caps%2C305&ref=nb_sb_ss_ts-doa-p_4_5#","Let us know","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMTUzMTg1NTMyMDk4OjowOjo&url=%2FBergner-Stainless-Cookware-Without-Induction%2Fdp%2FB0C28NCJH7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Bergner Tripro Triply Stainless Steel 3 Pc Cookware Set, 24 cm Indian Wok/Kadai with Lid, 24 cm Frypan Without Lid, Fast and Event Heating, Induction Bottom, Gas Ready, Silver","4.3","javascript:void(0)","4.3 out of 5 stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMTUzMTg1NTMyMDk4OjowOjo&url=%2FBergner-Stainless-Cookware-Without-Induction%2Fdp%2FB0C28NCJH7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews","82% 4+ stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMTUzMTg1NTMyMDk4OjowOjo&url=%2FBergner-Stainless-Cookware-Without-Induction%2Fdp%2FB0C28NCJH7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","₹2,499","2,499","500+ bought in past month","₹4,799","(48% off)","Get it by","Wednesday, 23 August","FREE Delivery by Amazon","https://www.amazon.in/gp/goldbox/","Limited time deal","M.R.P:",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDk2ODg0NjAwNjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Temperature-Resistant%2Fdp%2FB0B8DC1QQV%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/61tom4ifk+L._AC_UL400_.jpg","javascript:void(0)","Sponsored","Sponsored","You are seeing this ad based on the product’s relevance to your search query.","https://www.amazon.in/s?k=cook+wear&sprefix=cook+%2Caps%2C305&ref=nb_sb_ss_ts-doa-p_4_5#","Let us know","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDk2ODg0NjAwNjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Temperature-Resistant%2Fdp%2FB0B8DC1QQV%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","AmazonBasics 8-Piece Non-Stick Cookware Set| 2-Way 3 Layer Non-Stick Coating | PFOA Free | High Temperature Resistant Exterior Coating, Black","4.1","javascript:void(0)","4.1 out of 5 stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDk2ODg0NjAwNjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Temperature-Resistant%2Fdp%2FB0B8DC1QQV%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews","77% 4+ stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDk2ODg0NjAwNjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Temperature-Resistant%2Fdp%2FB0B8DC1QQV%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","₹2,699","2,699","100+ bought in past month","₹4,699","(43% off)","Get it by","Thursday, 24 August","FREE Delivery by Amazon","https://www.amazon.in/gp/goldbox/","Limited time deal","M.R.P:",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDY2MTIzMzQyMjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Serving-Spoons%2Fdp%2FB081TGCNF3%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","https://m.media-amazon.com/images/I/81-sJRhEapL._AC_UL400_.jpg","javascript:void(0)","Sponsored","Sponsored","You are seeing this ad based on the product’s relevance to your search query.","https://www.amazon.in/s?k=cook+wear&sprefix=cook+%2Caps%2C305&ref=nb_sb_ss_ts-doa-p_4_5#","Let us know","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDY2MTIzMzQyMjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Serving-Spoons%2Fdp%2FB081TGCNF3%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Basics - Non-Stick Cookware Set without Induction Base (Black) 8 Piece","4.2","javascript:void(0)","4.2 out of 5 stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDY2MTIzMzQyMjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Serving-Spoons%2Fdp%2FB081TGCNF3%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews","82% 4+ stars","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODM2MTM1OTkxMTY3NTk1OjE2OTI0NDg5NzQ6c3BfYXRmOjIwMDY2MTIzMzQyMjk4OjowOjo&url=%2FAmazonBasics-Non-Stick-Induction-Serving-Spoons%2Fdp%2FB081TGCNF3%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcookware%26qid%3D1692448974%26sprefix%3Dcook%2B%252Caps%252C305%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","₹2,999","2,999","100+ bought in past month","₹6,200","(52% off)","Get it by","Tuesday, 22 August","FREE Delivery by Amazon","https://www.amazon.in/gp/goldbox/","Limited time deal","M.R.P:",""
"https://www.amazon.in/Pigeon-Nonstick-Aluminium-Cookware-Kitchen/dp/B0C24BK3Z2/ref=sr_1_5?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-5","https://m.media-amazon.com/images/I/61w2eRTCulL._AC_UL400_.jpg","","","Get it by","","https://www.amazon.in/Pigeon-Nonstick-Aluminium-Cookware-Kitchen/dp/B0C24BK3Z2/ref=sr_1_5?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-5","","https://www.amazon.in/Pigeon-Nonstick-Aluminium-Cookware-Kitchen/dp/B0C24BK3Z2/ref=sr_1_5?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-5#customerReviews","Pigeon Mio Nonstick Aluminium Cookware Gift Set, Includes Nonstick Flat Tawa, Nonstick Fry Pan, Kitchen Tool Set, Nonstick Kadai with Glass Lid, 8 Pieces Kitchen Set (Black)","3.7","javascript:void(0)","3.7 out of 5 stars","","65% 4+ stars","https://www.amazon.in/Pigeon-Nonstick-Aluminium-Cookware-Kitchen/dp/B0C24BK3Z2/ref=sr_1_5?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-5","₹1,199","1,199","500+ bought in past month","₹2,695","(56% off)","Tuesday, 22 August","FREE Delivery by Amazon","","","","M.R.P:",""
"https://www.amazon.in/Milton-Induction-Kitchen-Spatula-Dishwasher/dp/B0B5XRDRFH/ref=sr_1_6?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-6","https://m.media-amazon.com/images/I/71n60BBalEL._AC_UL400_.jpg","","","FREE Delivery by Amazon","","https://www.amazon.in/Milton-Induction-Kitchen-Spatula-Dishwasher/dp/B0B5XRDRFH/ref=sr_1_6?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-6","","https://www.amazon.in/Milton-Induction-Kitchen-Spatula-Dishwasher/dp/B0B5XRDRFH/ref=sr_1_6?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-6#customerReviews","Milton Pro Cook Induction Kitchen Jewel Set of 5 (Fry pan 24 cm/1.6 litres; Kadhai 24 cm/2.5 litres with Glass lid; Tawa 25 cm; Nylon Laddle and Spatula), Peach | Dishwasher | Hot Plate | Flame Safe","4.0","javascript:void(0)","4.0 out of 5 stars","","76% 4+ stars","https://www.amazon.in/Milton-Induction-Kitchen-Spatula-Dishwasher/dp/B0B5XRDRFH/ref=sr_1_6?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-6","₹1,595","1,595","2K+ bought in past month","₹5,500","(71% off)","","","","","","M.R.P:",""
"https://www.amazon.in/Bergner-Stainless-Cookware-Heating-Induction/dp/B0C28MZSNT/ref=sr_1_7?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-7","https://m.media-amazon.com/images/I/51TK3jYBmBL._AC_UL400_.jpg","","","Get it by","","https://www.amazon.in/Bergner-Stainless-Cookware-Heating-Induction/dp/B0C28MZSNT/ref=sr_1_7?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-7","","https://www.amazon.in/Bergner-Stainless-Cookware-Heating-Induction/dp/B0C28MZSNT/ref=sr_1_7?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-7#customerReviews","Bergner Tripro Triply Stainless Steel 4 Pc Cookware Set, 24 cm Indian Wok/Kadai with Lid, 22 cm Frypan, 16 cm Tea Pan, Even and Fast Heating, Induction Bottom, Gas Ready, Silver","4.3","javascript:void(0)","4.3 out of 5 stars","","82% 4+ stars","https://www.amazon.in/Bergner-Stainless-Cookware-Heating-Induction/dp/B0C28MZSNT/ref=sr_1_7?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-7","₹2,969","2,969","1K+ bought in past month","₹4,599","(35% off)","Tuesday, 22 August","FREE Delivery by Amazon","","","","M.R.P:",""
"https://www.amazon.in/Cookware-Set-Nonstick-Induction-Saucepan/dp/B09ZY7XKN7/ref=sr_1_8?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-8","https://m.media-amazon.com/images/I/819hS6bqbUL._AC_UL400_.jpg","","","Get it by","","https://www.amazon.in/Cookware-Set-Nonstick-Induction-Saucepan/dp/B09ZY7XKN7/ref=sr_1_8?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-8","","https://www.amazon.in/Cookware-Set-Nonstick-Induction-Saucepan/dp/B09ZY7XKN7/ref=sr_1_8?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-8#customerReviews","CAROTE Non Stick Cookware Set, Nonstick Induction Set Combo, Set of 4(24cm Fry Pan, 16cm Saucepan, 24cm Sauce Pot, 28cm Biryani Pot, 16cm Lid, 24cm Lid, 28cm LidGreen)","4.4","javascript:void(0)","4.4 out of 5 stars","https://www.amazon.in/gp/goldbox/","88% 4+ stars","https://www.amazon.in/Cookware-Set-Nonstick-Induction-Saucepan/dp/B09ZY7XKN7/ref=sr_1_8?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-8","₹4,499","4,499","800+ bought in past month","₹9,999","(55% off)","Wednesday, 23 August","FREE Delivery by Amazon","","","Deal of the Day","M.R.P:",""
"https://www.amazon.in/Pristine-Induction-Cooking-Essential-Cookware/dp/B01I9VB4W4/ref=sr_1_9?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-9","https://m.media-amazon.com/images/I/41rpD77HqsL._AC_UL400_.jpg","","","Get it by","","https://www.amazon.in/Pristine-Induction-Cooking-Essential-Cookware/dp/B01I9VB4W4/ref=sr_1_9?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-9","","https://www.amazon.in/Pristine-Induction-Cooking-Essential-Cookware/dp/B01I9VB4W4/ref=sr_1_9?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-9#customerReviews","Pristine Tri Ply Induction Base Cooking Essential St. Steel Cookware Set, 10PCS, Silver","3.9","javascript:void(0)","3.9 out of 5 stars","https://www.amazon.in/gp/goldbox/","68% 4+ stars","https://www.amazon.in/Pristine-Induction-Cooking-Essential-Cookware/dp/B01I9VB4W4/ref=sr_1_9?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-9","₹1,709","1,709","200+ bought in past month","₹3,350","(49% off)","Wednesday, 23 August","FREE Delivery by Amazon","","","Deal of the Day","M.R.P:",""
"https://www.amazon.in/gp/bestsellers/kitchen/51397001031/ref=sr_bs_9_51397001031_1","https://m.media-amazon.com/images/I/71h+7p-RpLL._AC_UL400_.jpg","","","Get it by","","https://www.amazon.in/Carote-Induction-Granite-Covered-Biriyani/dp/B09V7MPGT6/ref=sr_1_10?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-10","","https://www.amazon.in/Carote-Induction-Granite-Covered-Biriyani/dp/B09V7MPGT6/ref=sr_1_10?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-10","CAROTE 28CM/3.8L Non Stick Kadai with Lid, Induction Kadai, Granite Covered Kadhai, Biriyani Pot, Kadhai for Deep Frying","Granite, Glass,Ceramic","javascript:void(0)","4.4 out of 5 stars","https://www.amazon.in/Carote-Induction-Granite-Covered-Biriyani/dp/B09V7MPGT6/ref=sr_1_10?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-10#customerReviews","4.4","https://www.amazon.in/Carote-Induction-Granite-Covered-Biriyani/dp/B09V7MPGT6/ref=sr_1_10?keywords=cookware&qid=1692448974&sprefix=cook+%2Caps%2C305&sr=8-10","₹1,729","1,729","88% 4+ stars","₹2,829","(39% off)","Tuesday, 22 August","FREE Delivery by Amazon","","https://www.amazon.in/gp/goldbox/","Best seller","50+ bought in past month","M.R.P:"
